dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,registered,temp_actual,hum_actual,windspeed_actual,registered_daily,time_cluster
2011-01-01,Spring,0,1,17,0,6,0,Mist/Cloudy,0.44,0.82,0.2836,52,18.04,82.0,19.0012,654,Evening Rush
2011-01-01,Spring,0,1,18,0,6,0,Light Rain/Snow,0.42,0.88,0.2537,26,17.22,88.0,16.997899999999998,654,Evening Rush
2011-01-01,Spring,0,1,19,0,6,0,Light Rain/Snow,0.42,0.88,0.2537,31,17.22,88.0,16.997899999999998,654,Evening Rush
2011-01-01,Spring,0,1,20,0,6,0,Mist/Cloudy,0.4,0.87,0.2537,25,16.400000000000002,87.0,16.997899999999998,654,Late Night
2011-01-01,Spring,0,1,21,0,6,0,Mist/Cloudy,0.4,0.87,0.194,31,16.400000000000002,87.0,12.998000000000001,654,Late Night
2011-01-01,Spring,0,1,22,0,6,0,Mist/Cloudy,0.4,0.94,0.2239,17,16.400000000000002,94.0,15.001299999999999,654,Late Night
2011-01-01,Spring,0,1,23,0,6,0,Mist/Cloudy,0.46,0.88,0.2985,24,18.86,88.0,19.999499999999998,654,Late Night
2011-01-02,Spring,0,1,0,0,0,0,Mist/Cloudy,0.46,0.88,0.2985,13,18.86,88.0,19.999499999999998,670,
2011-01-02,Spring,0,1,1,0,0,0,Mist/Cloudy,0.44,0.94,0.2537,16,18.04,94.0,16.997899999999998,670,Night
2011-01-02,Spring,0,1,2,0,0,0,Mist/Cloudy,0.42,1.0,0.2836,8,17.22,100.0,19.0012,670,Night
2011-01-02,Spring,0,1,3,0,0,0,Mist/Cloudy,0.46,0.94,0.194,4,18.86,94.0,12.998000000000001,670,Night
2011-01-02,Spring,0,1,4,0,0,0,Mist/Cloudy,0.46,0.94,0.194,1,18.86,94.0,12.998000000000001,670,Night
2011-01-02,Spring,0,1,6,0,0,0,Light Rain/Snow,0.42,0.77,0.2985,2,17.22,77.0,19.999499999999998,670,Night
2011-01-02,Spring,0,1,7,0,0,0,Mist/Cloudy,0.4,0.76,0.194,1,16.400000000000002,76.0,12.998000000000001,670,Morning Rush
2011-01-02,Spring,0,1,8,0,0,0,Light Rain/Snow,0.4,0.71,0.2239,8,16.400000000000002,71.0,15.001299999999999,670,Morning Rush
2011-01-02,Spring,0,1,9,0,0,0,Mist/Cloudy,0.38,0.76,0.2239,19,15.58,76.0,15.001299999999999,670,Morning Rush
2011-01-02,Spring,0,1,10,0,0,0,Mist/Cloudy,0.36,0.81,0.2239,46,14.76,81.0,15.001299999999999,670,Work Hours
2011-01-02,Spring,0,1,11,0,0,0,Mist/Cloudy,0.36,0.71,0.2537,54,14.76,71.0,16.997899999999998,670,Work Hours
2011-01-02,Spring,0,1,12,0,0,0,Mist/Cloudy,0.36,0.66,0.2985,73,14.76,66.0,19.999499999999998,670,Work Hours
2011-01-02,Spring,0,1,13,0,0,0,Mist/Cloudy,0.36,0.66,0.1343,64,14.76,66.0,8.9981,670,Work Hours
2011-01-02,Spring,0,1,14,0,0,0,Light Rain/Snow,0.36,0.76,0.194,55,14.76,76.0,12.998000000000001,670,Work Hours
2011-01-02,Spring,0,1,15,0,0,0,Light Rain/Snow,0.34,0.81,0.1642,55,13.940000000000001,81.0,11.0014,670,Work Hours
2011-01-02,Spring,0,1,16,0,0,0,Light Rain/Snow,0.34,0.71,0.1642,67,13.940000000000001,71.0,11.0014,670,Work Hours
2011-01-02,Spring,0,1,17,0,0,0,Clear,0.34,0.57,0.194,58,13.940000000000001,56.99999999999999,12.998000000000001,670,Evening Rush
2011-01-02,Spring,0,1,18,0,0,0,Mist/Cloudy,0.36,0.46,0.3284,43,14.76,46.0,22.0028,670,Evening Rush
2011-01-02,Spring,0,1,19,0,0,0,Clear,0.32,0.42,0.4478,29,13.120000000000001,42.0,30.002599999999997,670,Evening Rush
2011-01-02,Spring,0,1,20,0,0,0,Clear,0.3,0.39,0.3582,17,12.299999999999999,39.0,23.9994,670,Late Night
2011-01-02,Spring,0,1,21,0,0,0,Clear,0.26,0.44,0.3284,20,10.66,44.0,22.0028,670,Late Night
2011-01-02,Spring,0,1,22,0,0,0,Clear,0.24,0.44,0.2985,9,9.84,44.0,19.999499999999998,670,Late Night
2011-01-02,Spring,0,1,23,0,0,0,Clear,0.22,0.47,0.1642,8,9.02,47.0,11.0014,670,Late Night
2011-01-03,Spring,0,1,0,0,1,1,Clear,0.22,0.44,0.3582,5,9.02,44.0,23.9994,1229,
2011-01-03,Spring,0,1,1,0,1,1,Clear,0.2,0.44,0.4179,2,8.200000000000001,44.0,27.999299999999998,1229,Night
2011-01-03,Spring,0,1,4,0,1,1,Clear,0.16,0.47,0.3881,1,6.5600000000000005,47.0,26.0027,1229,Night
2011-01-03,Spring,0,1,5,0,1,1,Clear,0.16,0.47,0.2836,3,6.5600000000000005,47.0,19.0012,1229,Night
2011-01-03,Spring,0,1,6,0,1,1,Clear,0.14,0.5,0.3881,30,5.74,50.0,26.0027,1229,Night
2011-01-03,Spring,0,1,7,0,1,1,Clear,0.14,0.5,0.194,63,5.74,50.0,12.998000000000001,1229,Morning Rush
2011-01-03,Spring,0,1,8,0,1,1,Clear,0.14,0.5,0.2836,153,5.74,50.0,19.0012,1229,Morning Rush
2011-01-03,Spring,0,1,9,0,1,1,Clear,0.16,0.43,0.3881,81,6.5600000000000005,43.0,26.0027,1229,Morning Rush
2011-01-03,Spring,0,1,10,0,1,1,Clear,0.18,0.43,0.2537,33,7.38,43.0,16.997899999999998,1229,Work Hours
2011-01-03,Spring,0,1,11,0,1,1,Clear,0.2,0.4,0.3284,41,8.200000000000001,40.0,22.0028,1229,Work Hours
2011-01-03,Spring,0,1,12,0,1,1,Clear,0.22,0.35,0.2985,48,9.02,35.0,19.999499999999998,1229,Work Hours
2011-01-03,Spring,0,1,13,0,1,1,Clear,0.24,0.35,0.2836,53,9.84,35.0,19.0012,1229,Work Hours
2011-01-03,Spring,0,1,14,0,1,1,Clear,0.26,0.3,0.2836,66,10.66,30.0,19.0012,1229,Work Hours
2011-01-03,Spring,0,1,15,0,1,1,Clear,0.26,0.3,0.2537,58,10.66,30.0,16.997899999999998,1229,Work Hours
2011-01-03,Spring,0,1,16,0,1,1,Clear,0.26,0.3,0.2537,67,10.66,30.0,16.997899999999998,1229,Work Hours
2011-01-03,Spring,0,1,17,0,1,1,Clear,0.24,0.3,0.2239,146,9.84,30.0,15.001299999999999,1229,Evening Rush
2011-01-03,Spring,0,1,18,0,1,1,Clear,0.24,0.32,0.1045,148,9.84,32.0,7.0015,1229,Evening Rush
2011-01-03,Spring,0,1,19,0,1,1,Clear,0.2,0.47,0.0,102,8.200000000000001,47.0,0.0,1229,Evening Rush
2011-01-03,Spring,0,1,20,0,1,1,Clear,0.2,0.47,0.1045,49,8.200000000000001,47.0,7.0015,1229,Late Night
2011-01-03,Spring,0,1,21,0,1,1,Clear,0.18,0.64,0.1343,49,7.38,64.0,8.9981,1229,Late Night
2011-01-03,Spring,0,1,22,0,1,1,Clear,0.14,0.69,0.1343,20,5.74,69.0,8.9981,1229,Late Night
2011-01-03,Spring,0,1,23,0,1,1,Clear,0.18,0.55,0.1045,11,7.38,55.00000000000001,7.0015,1229,Late Night
2011-01-04,Spring,0,1,0,0,2,1,Clear,0.16,0.55,0.1045,5,6.5600000000000005,55.00000000000001,7.0015,1454,
2011-01-04,Spring,0,1,1,0,2,1,Clear,0.16,0.59,0.1045,2,6.5600000000000005,59.0,7.0015,1454,Night
2011-01-04,Spring,0,1,2,0,2,1,Clear,0.14,0.63,0.1343,1,5.74,63.0,8.9981,1454,Night
2011-01-04,Spring,0,1,4,0,2,1,Clear,0.14,0.63,0.0896,2,5.74,63.0,6.0032,1454,Night
2011-01-04,Spring,0,1,5,0,2,1,Clear,0.12,0.68,0.1045,4,4.92,68.0,7.0015,1454,Night
2011-01-04,Spring,0,1,6,0,2,1,Clear,0.12,0.74,0.1045,36,4.92,74.0,7.0015,1454,Night
2011-01-04,Spring,0,1,7,0,2,1,Clear,0.12,0.74,0.1343,92,4.92,74.0,8.9981,1454,Morning Rush
2011-01-04,Spring,0,1,8,0,2,1,Clear,0.14,0.69,0.1642,177,5.74,69.0,11.0014,1454,Morning Rush
2011-01-04,Spring,0,1,9,0,2,1,Clear,0.16,0.64,0.2239,98,6.5600000000000005,64.0,15.001299999999999,1454,Morning Rush
2011-01-04,Spring,0,1,10,0,2,1,Mist/Cloudy,0.16,0.69,0.3284,37,6.5600000000000005,69.0,22.0028,1454,Work Hours
2011-01-04,Spring,0,1,11,0,2,1,Clear,0.22,0.51,0.2985,50,9.02,51.0,19.999499999999998,1454,Work Hours
2011-01-04,Spring,0,1,12,0,2,1,Clear,0.22,0.51,0.1642,66,9.02,51.0,11.0014,1454,Work Hours
2011-01-04,Spring,0,1,13,0,2,1,Clear,0.24,0.56,0.194,79,9.84,56.00000000000001,12.998000000000001,1454,Work Hours
2011-01-04,Spring,0,1,14,0,2,1,Clear,0.26,0.52,0.2239,54,10.66,52.0,15.001299999999999,1454,Work Hours
2011-01-04,Spring,0,1,15,0,2,1,Clear,0.28,0.52,0.2537,48,11.48,52.0,16.997899999999998,1454,Work Hours
2011-01-04,Spring,0,1,16,0,2,1,Clear,0.3,0.49,0.2537,68,12.299999999999999,49.0,16.997899999999998,1454,Work Hours
2011-01-04,Spring,0,1,17,0,2,1,Clear,0.28,0.48,0.2239,202,11.48,48.0,15.001299999999999,1454,Evening Rush
2011-01-04,Spring,0,1,18,0,2,1,Clear,0.26,0.48,0.194,179,10.66,48.0,12.998000000000001,1454,Evening Rush
2011-01-04,Spring,0,1,19,0,2,1,Clear,0.24,0.48,0.1045,110,9.84,48.0,7.0015,1454,Evening Rush
2011-01-04,Spring,0,1,20,0,2,1,Clear,0.24,0.48,0.1045,53,9.84,48.0,7.0015,1454,Late Night
2011-01-04,Spring,0,1,21,0,2,1,Clear,0.22,0.64,0.0,48,9.02,64.0,0.0,1454,Late Night
2011-01-04,Spring,0,1,22,0,2,1,Clear,0.22,0.64,0.0896,34,9.02,64.0,6.0032,1454,Late Night
2011-01-04,Spring,0,1,23,0,2,1,Clear,0.2,0.69,0.0896,9,8.200000000000001,69.0,6.0032,1454,Late Night
2011-01-05,Spring,0,1,0,0,3,1,Clear,0.2,0.64,0.0,6,8.200000000000001,64.0,0.0,1518,
2011-01-05,Spring,0,1,1,0,3,1,Clear,0.16,0.74,0.0896,6,6.5600000000000005,74.0,6.0032,1518,Night
2011-01-05,Spring,0,1,2,0,3,1,Clear,0.16,0.74,0.0896,2,6.5600000000000005,74.0,6.0032,1518,Night
2011-01-05,Spring,0,1,4,0,3,1,Clear,0.24,0.48,0.2239,2,9.84,48.0,15.001299999999999,1518,Night
2011-01-05,Spring,0,1,5,0,3,1,Clear,0.22,0.47,0.1642,3,9.02,47.0,11.0014,1518,Night
2011-01-05,Spring,0,1,6,0,3,1,Clear,0.2,0.47,0.2239,33,8.200000000000001,47.0,15.001299999999999,1518,Night
2011-01-05,Spring,0,1,7,0,3,1,Clear,0.18,0.43,0.194,87,7.38,43.0,12.998000000000001,1518,Morning Rush
2011-01-05,Spring,0,1,8,0,3,1,Clear,0.2,0.4,0.2985,192,8.200000000000001,40.0,19.999499999999998,1518,Morning Rush
2011-01-05,Spring,0,1,9,0,3,1,Clear,0.22,0.37,0.3284,109,9.02,37.0,22.0028,1518,Morning Rush
2011-01-05,Spring,0,1,10,0,3,1,Clear,0.22,0.37,0.3284,53,9.02,37.0,22.0028,1518,Work Hours
2011-01-05,Spring,0,1,11,0,3,1,Clear,0.26,0.33,0.3284,34,10.66,33.0,22.0028,1518,Work Hours
2011-01-05,Spring,0,1,12,0,3,1,Clear,0.26,0.33,0.3284,74,10.66,33.0,22.0028,1518,Work Hours
2011-01-05,Spring,0,1,13,0,3,1,Clear,0.28,0.3,0.2985,65,11.48,30.0,19.999499999999998,1518,Work Hours
2011-01-05,Spring,0,1,14,0,3,1,Clear,0.3,0.28,0.194,52,12.299999999999999,28.000000000000004,12.998000000000001,1518,Work Hours
2011-01-05,Spring,0,1,15,0,3,1,Clear,0.3,0.28,0.194,55,12.299999999999999,28.000000000000004,12.998000000000001,1518,Work Hours
2011-01-05,Spring,0,1,16,0,3,1,Clear,0.3,0.28,0.0896,85,12.299999999999999,28.000000000000004,6.0032,1518,Work Hours
2011-01-05,Spring,0,1,17,0,3,1,Clear,0.24,0.38,0.194,186,9.84,38.0,12.998000000000001,1518,Evening Rush
2011-01-05,Spring,0,1,18,0,3,1,Clear,0.24,0.38,0.1343,166,9.84,38.0,8.9981,1518,Evening Rush
2011-01-05,Spring,0,1,19,0,3,1,Clear,0.24,0.38,0.1045,127,9.84,38.0,7.0015,1518,Evening Rush
2011-01-05,Spring,0,1,20,0,3,1,Clear,0.22,0.47,0.1642,82,9.02,47.0,11.0014,1518,Late Night
2011-01-05,Spring,0,1,21,0,3,1,Clear,0.2,0.51,0.194,40,8.200000000000001,51.0,12.998000000000001,1518,Late Night
2011-01-05,Spring,0,1,22,0,3,1,Clear,0.18,0.55,0.1343,41,7.38,55.00000000000001,8.9981,1518,Late Night
2011-01-05,Spring,0,1,23,0,3,1,Clear,0.2,0.47,0.0,18,8.200000000000001,47.0,0.0,1518,Late Night
2011-01-06,Spring,0,1,0,0,4,1,Clear,0.18,0.55,0.0,11,7.38,55.00000000000001,0.0,1518,
2011-01-06,Spring,0,1,1,0,4,1,Clear,0.16,0.64,0.0,4,6.5600000000000005,64.0,0.0,1518,Night
2011-01-06,Spring,0,1,2,0,4,1,Clear,0.16,0.64,0.0,2,6.5600000000000005,64.0,0.0,1518,Night
2011-01-06,Spring,0,1,4,0,4,1,Mist/Cloudy,0.16,0.64,0.0896,1,6.5600000000000005,64.0,6.0032,1518,Night
2011-01-06,Spring,0,1,5,0,4,1,Mist/Cloudy,0.14,0.69,0.0896,4,5.74,69.0,6.0032,1518,Night
2011-01-06,Spring,0,1,6,0,4,1,Mist/Cloudy,0.14,0.63,0.1045,36,5.74,63.0,7.0015,1518,Night
2011-01-06,Spring,0,1,7,0,4,1,Mist/Cloudy,0.16,0.59,0.0,95,6.5600000000000005,59.0,0.0,1518,Morning Rush
2011-01-06,Spring,0,1,8,0,4,1,Clear,0.16,0.59,0.0,216,6.5600000000000005,59.0,0.0,1518,Morning Rush
2011-01-06,Spring,0,1,9,0,4,1,Mist/Cloudy,0.18,0.51,0.0,116,7.38,51.0,0.0,1518,Morning Rush
2011-01-06,Spring,0,1,10,0,4,1,Clear,0.2,0.47,0.0,42,8.200000000000001,47.0,0.0,1518,Work Hours
2011-01-06,Spring,0,1,11,0,4,1,Clear,0.22,0.44,0.0896,57,9.02,44.0,6.0032,1518,Work Hours
2011-01-06,Spring,0,1,12,0,4,1,Clear,0.26,0.35,0.0,78,10.66,35.0,0.0,1518,Work Hours
2011-01-06,Spring,0,1,13,0,4,1,Clear,0.26,0.35,0.1045,55,10.66,35.0,7.0015,1518,Work Hours
2011-01-06,Spring,0,1,14,0,4,1,Clear,0.28,0.36,0.1642,59,11.48,36.0,11.0014,1518,Work Hours
2011-01-06,Spring,0,1,15,0,4,1,Clear,0.28,0.36,0.0,54,11.48,36.0,0.0,1518,Work Hours
2011-01-06,Spring,0,1,16,0,4,1,Clear,0.26,0.38,0.1642,74,10.66,38.0,11.0014,1518,Work Hours
2011-01-06,Spring,0,1,17,0,4,1,Clear,0.22,0.51,0.1642,163,9.02,51.0,11.0014,1518,Evening Rush
2011-01-06,Spring,0,1,18,0,4,1,Clear,0.22,0.51,0.1343,158,9.02,51.0,8.9981,1518,Evening Rush
2011-01-06,Spring,0,1,19,0,4,1,Clear,0.22,0.55,0.0896,109,9.02,55.00000000000001,6.0032,1518,Evening Rush
2011-01-06,Spring,0,1,20,0,4,1,Clear,0.2,0.51,0.1642,66,8.200000000000001,51.0,11.0014,1518,Late Night
2011-01-06,Spring,0,1,21,0,4,1,Mist/Cloudy,0.22,0.55,0.2239,48,9.02,55.00000000000001,15.001299999999999,1518,Late Night
2011-01-06,Spring,0,1,22,0,4,1,Mist/Cloudy,0.22,0.51,0.2836,51,9.02,51.0,19.0012,1518,Late Night
2011-01-06,Spring,0,1,23,0,4,1,Mist/Cloudy,0.2,0.59,0.194,19,8.200000000000001,59.0,12.998000000000001,1518,Late Night
2011-01-07,Spring,0,1,0,0,5,1,Mist/Cloudy,0.2,0.64,0.194,13,8.200000000000001,64.0,12.998000000000001,1362,
2011-01-07,Spring,0,1,1,0,5,1,Mist/Cloudy,0.2,0.69,0.2239,5,8.200000000000001,69.0,15.001299999999999,1362,Night
2011-01-07,Spring,0,1,2,0,5,1,Mist/Cloudy,0.2,0.69,0.2239,1,8.200000000000001,69.0,15.001299999999999,1362,Night
2011-01-07,Spring,0,1,4,0,5,1,Mist/Cloudy,0.2,0.69,0.1343,1,8.200000000000001,69.0,8.9981,1362,Night
2011-01-07,Spring,0,1,5,0,5,1,Light Rain/Snow,0.22,0.55,0.0,5,9.02,55.00000000000001,0.0,1362,Night
2011-01-07,Spring,0,1,6,0,5,1,Mist/Cloudy,0.2,0.69,0.0,26,8.200000000000001,69.0,0.0,1362,Night
2011-01-07,Spring,0,1,7,0,5,1,Clear,0.2,0.69,0.1343,76,8.200000000000001,69.0,8.9981,1362,Morning Rush
2011-01-07,Spring,0,1,8,0,5,1,Clear,0.2,0.51,0.2537,190,8.200000000000001,51.0,16.997899999999998,1362,Morning Rush
2011-01-07,Spring,0,1,9,0,5,1,Clear,0.2,0.47,0.2985,125,8.200000000000001,47.0,19.999499999999998,1362,Morning Rush
2011-01-07,Spring,0,1,10,0,5,1,Clear,0.22,0.37,0.3284,47,9.02,37.0,22.0028,1362,Work Hours
2011-01-07,Spring,0,1,11,0,5,1,Mist/Cloudy,0.2,0.4,0.2239,48,8.200000000000001,40.0,15.001299999999999,1362,Work Hours
2011-01-07,Spring,0,1,12,0,5,1,Mist/Cloudy,0.2,0.37,0.2537,50,8.200000000000001,37.0,16.997899999999998,1362,Work Hours
2011-01-07,Spring,0,1,13,0,5,1,Mist/Cloudy,0.2,0.37,0.2836,64,8.200000000000001,37.0,19.0012,1362,Work Hours
2011-01-07,Spring,0,1,14,0,5,1,Mist/Cloudy,0.2,0.4,0.2537,43,8.200000000000001,40.0,16.997899999999998,1362,Work Hours
2011-01-07,Spring,0,1,15,0,5,1,Mist/Cloudy,0.2,0.37,0.1642,63,8.200000000000001,37.0,11.0014,1362,Work Hours
2011-01-07,Spring,0,1,16,0,5,1,Mist/Cloudy,0.2,0.37,0.1642,82,8.200000000000001,37.0,11.0014,1362,Work Hours
2011-01-07,Spring,0,1,17,0,5,1,Mist/Cloudy,0.2,0.37,0.0,178,8.200000000000001,37.0,0.0,1362,Evening Rush
2011-01-07,Spring,0,1,18,0,5,1,Clear,0.2,0.4,0.0896,116,8.200000000000001,40.0,6.0032,1362,Evening Rush
2011-01-07,Spring,0,1,19,0,5,1,Clear,0.16,0.55,0.0896,92,6.5600000000000005,55.00000000000001,6.0032,1362,Evening Rush
2011-01-07,Spring,0,1,20,0,5,1,Clear,0.18,0.47,0.1045,50,7.38,47.0,7.0015,1362,Late Night
2011-01-07,Spring,0,1,21,0,5,1,Clear,0.18,0.47,0.1343,39,7.38,47.0,8.9981,1362,Late Night
2011-01-07,Spring,0,1,22,0,5,1,Mist/Cloudy,0.18,0.43,0.1642,34,7.38,43.0,11.0014,1362,Late Night
2011-01-07,Spring,0,1,23,0,5,1,Mist/Cloudy,0.18,0.51,0.1642,14,7.38,51.0,11.0014,1362,Late Night
2011-01-08,Spring,0,1,0,0,6,0,Mist/Cloudy,0.18,0.51,0.1642,24,7.38,51.0,11.0014,891,
2011-01-08,Spring,0,1,1,0,6,0,Mist/Cloudy,0.18,0.55,0.0896,15,7.38,55.00000000000001,6.0032,891,Night
2011-01-08,Spring,0,1,2,0,6,0,Mist/Cloudy,0.18,0.55,0.0,13,7.38,55.00000000000001,0.0,891,Night
2011-01-08,Spring,0,1,3,0,6,0,Light Rain/Snow,0.18,0.55,0.1642,7,7.38,55.00000000000001,11.0014,891,Night
2011-01-08,Spring,0,1,4,0,6,0,Light Rain/Snow,0.18,0.55,0.1642,1,7.38,55.00000000000001,11.0014,891,Night
2011-01-08,Spring,0,1,5,0,6,0,Mist/Cloudy,0.16,0.74,0.1642,5,6.5600000000000005,74.0,11.0014,891,Night
2011-01-08,Spring,0,1,6,0,6,0,Mist/Cloudy,0.16,0.74,0.1642,2,6.5600000000000005,74.0,11.0014,891,Night
2011-01-08,Spring,0,1,7,0,6,0,Mist/Cloudy,0.16,0.74,0.1045,8,6.5600000000000005,74.0,7.0015,891,Morning Rush
2011-01-08,Spring,0,1,8,0,6,0,Light Rain/Snow,0.16,0.93,0.1045,15,6.5600000000000005,93.0,7.0015,891,Morning Rush
2011-01-08,Spring,0,1,9,0,6,0,Light Rain/Snow,0.16,0.93,0.1045,20,6.5600000000000005,93.0,7.0015,891,Morning Rush
2011-01-08,Spring,0,1,10,0,6,0,Mist/Cloudy,0.18,0.8,0.1642,56,7.38,80.0,11.0014,891,Work Hours
2011-01-08,Spring,0,1,11,0,6,0,Mist/Cloudy,0.2,0.69,0.3881,60,8.200000000000001,69.0,26.0027,891,Work Hours
2011-01-08,Spring,0,1,12,0,6,0,Mist/Cloudy,0.2,0.59,0.3582,90,8.200000000000001,59.0,23.9994,891,Work Hours
2011-01-08,Spring,0,1,13,0,6,0,Clear,0.2,0.44,0.3284,95,8.200000000000001,44.0,22.0028,891,Work Hours
2011-01-08,Spring,0,1,14,0,6,0,Clear,0.2,0.32,0.4925,83,8.200000000000001,32.0,32.9975,891,Work Hours
2011-01-08,Spring,0,1,15,0,6,0,Clear,0.2,0.32,0.4478,69,8.200000000000001,32.0,30.002599999999997,891,Work Hours
2011-01-08,Spring,0,1,16,0,6,0,Clear,0.18,0.29,0.4478,68,7.38,28.999999999999996,30.002599999999997,891,Work Hours
2011-01-08,Spring,0,1,17,0,6,0,Clear,0.16,0.37,0.5522,64,6.5600000000000005,37.0,36.9974,891,Evening Rush
2011-01-08,Spring,0,1,18,0,6,0,Clear,0.14,0.39,0.2985,52,5.74,39.0,19.999499999999998,891,Evening Rush
2011-01-08,Spring,0,1,19,0,6,0,Clear,0.14,0.36,0.2537,26,5.74,36.0,16.997899999999998,891,Evening Rush
2011-01-08,Spring,0,1,20,0,6,0,Clear,0.12,0.36,0.2537,28,4.92,36.0,16.997899999999998,891,Late Night
2011-01-08,Spring,0,1,21,0,6,0,Clear,0.12,0.39,0.3582,35,4.92,39.0,23.9994,891,Late Night
2011-01-08,Spring,0,1,22,0,6,0,Clear,0.12,0.36,0.3881,33,4.92,36.0,26.0027,891,Late Night
2011-01-08,Spring,0,1,23,0,6,0,Clear,0.1,0.39,0.4478,22,4.1000000000000005,39.0,30.002599999999997,891,Late Night
2011-01-09,Spring,0,1,0,0,0,0,Clear,0.1,0.42,0.3881,24,4.1000000000000005,42.0,26.0027,768,
2011-01-09,Spring,0,1,1,0,0,0,Clear,0.1,0.42,0.4627,12,4.1000000000000005,42.0,31.0009,768,Night
2011-01-09,Spring,0,1,2,0,0,0,Clear,0.1,0.46,0.4627,11,4.1000000000000005,46.0,31.0009,768,Night
2011-01-09,Spring,0,1,3,0,0,0,Clear,0.1,0.46,0.4179,4,4.1000000000000005,46.0,27.999299999999998,768,Night
2011-01-09,Spring,0,1,4,0,0,0,Clear,0.08,0.53,0.194,1,3.2800000000000002,53.0,12.998000000000001,768,Night
2011-01-09,Spring,0,1,5,0,0,0,Clear,0.08,0.53,0.194,1,3.2800000000000002,53.0,12.998000000000001,768,Night
2011-01-09,Spring,0,1,6,0,0,0,Clear,0.1,0.49,0.2836,1,4.1000000000000005,49.0,19.0012,768,Night
2011-01-09,Spring,0,1,7,0,0,0,Clear,0.08,0.53,0.194,5,3.2800000000000002,53.0,12.998000000000001,768,Morning Rush
2011-01-09,Spring,0,1,8,0,0,0,Clear,0.1,0.49,0.2836,10,4.1000000000000005,49.0,19.0012,768,Morning Rush
2011-01-09,Spring,0,1,9,0,0,0,Clear,0.12,0.46,0.5224,19,4.92,46.0,35.0008,768,Morning Rush
2011-01-09,Spring,0,1,10,0,0,0,Clear,0.14,0.43,0.3881,49,5.74,43.0,26.0027,768,Work Hours
2011-01-09,Spring,0,1,11,0,0,0,Clear,0.16,0.4,0.5224,47,6.5600000000000005,40.0,35.0008,768,Work Hours
2011-01-09,Spring,0,1,12,0,0,0,Clear,0.18,0.37,0.4478,79,7.38,37.0,30.002599999999997,768,Work Hours
2011-01-09,Spring,0,1,13,0,0,0,Clear,0.2,0.34,0.4478,69,8.200000000000001,34.0,30.002599999999997,768,Work Hours
2011-01-09,Spring,0,1,14,0,0,0,Clear,0.22,0.32,0.4627,64,9.02,32.0,31.0009,768,Work Hours
2011-01-09,Spring,0,1,15,0,0,0,Clear,0.22,0.35,0.3582,77,9.02,35.0,23.9994,768,Work Hours
2011-01-09,Spring,0,1,16,0,0,0,Clear,0.2,0.34,0.4478,79,8.200000000000001,34.0,30.002599999999997,768,Work Hours
2011-01-09,Spring,0,1,17,0,0,0,Clear,0.18,0.37,0.3881,59,7.38,37.0,26.0027,768,Evening Rush
2011-01-09,Spring,0,1,18,0,0,0,Clear,0.16,0.4,0.3284,44,6.5600000000000005,40.0,22.0028,768,Evening Rush
